ExamDescription,GroupName
FL Biopsy Bone,IR Biopsy Bone
FL Biopsy Liver,IR BIOPSY ABDOMEN
FL Biopsy Lower Extremity,RF Biopsy Lower Extremity
FL Biopsy Lung,IR Biopsy Chest
FL Biopsy Other,RF BIOPSY OTHER
FL Biopsy Paracentesis US Guided,RF Abdomen
FL Biopsy Small Bowel,IR BIOPSY ABDOMEN
FL Biopsy Spine,RF Biopsy Spine
FL Biopsy Upper Extremity,IR Biopsy Upper Extremity
FL Biopsy US Guided,RF Biopsy US Guided
FL Bursa Injection,IR Cholangiogram
FL Catheter or Tube Check w/ Contrast,IR Tube Check
FL Cervical Myelogram,IR Myelogram
FL Chest,RF Chest
FL Chest not by a Radiologist,RF Chest
FL Chest Tube Insertion,RF Chest
FL Chest US Guided,RF Chest
FL Cholangiogram,RF Colon Single Contrast
FL Cholangiogram in OR,RF Colon Single Contrast
FL Cholangiogram Laproscopic in OR,RF Colon Single Contrast
FL Cholangiogram T Tube,RF Colon Single Contrast
FL Colon Air Contrast Adult,RF Colon Double Contrast
FL Colon Air Contrast Pediatric,RF Colon Double Contrast
FL Colon Barium Adult,RF Colon Single Contrast
FL Colon Barium Pediatric,RF Colon Single Contrast
FL Colon Water Soluble Contrast,RF Colon Single Contrast
FL Colonoscopy,RF Colonoscopy
FL Dacrocystogram,RF Dacriocystography
FL Defecogram,RF Defecogram
FL Descending Venogram,IR Venogram Leg BILAT
FL Drainage Abscess,IR Perc Abscess or fluid Drainage
FL Drainage Abscess US Guided,IR Perc Abscess or fluid Drainage
FL Drainage Chest US Guided,RF Chest
FL Drainage Paracentesis US Guided,RF Abdomen
FL Drainage Pneumothorax,RF Chest
FL Elbow Arthrogram Left,IR Arthrogram Elbow
FL Elbow Arthrogram Right,IR Arthrogram Elbow
FL Elbow Aspiration Left,IR Aspiration Upper Extremity
FL Elbow Aspiration Right,IR Aspiration Upper Extremity
FL Elbow Injection Left,IR Injection Upper Extremity
FL Elbow Injection Right,IR Injection Upper Extremity
FL Endovascular Aortic Aneurysm Repair,RF Chest
FL Enteroclysis,RF Small Bowel Follow Through
FL ERCP,RF ERCP
FL Esophageal Stent Placement,RF Esophagram
FL Esophagus Stomach Duod Water Sol Cont,RF Esophagus Stomach Duodenum
FL Esophagus Stomach Duodenum,RF Esophagus Stomach Duodenum
FL Esophagus Stomach Duodenum Pediatric,RF Esophagus Stomach Duodenum
FL Esophagus Study,RF Esophagram
FL Esophagus Water Sol Contrast,RF Esophagram
FL Exam Set Up,
FL Foot Injection Left,IR Injection Lower Extremity
FL Foot Injection Right,IR Injection Lower Extremity
FL Gadolinium Injection Pre MRI,IR Cholangiogram
FL Gastric Button,RF Gastrogram
FL Gastric Tube Insertion,RF Tube Insertion Nasogastric
FL Herniography,RF Abdomen
FL Hip Arthrogram Left,IR Arthrogram Hip
FL Hip Arthrogram Right,IR Arthrogram Hip
FL Hip Aspiration Left,IR Aspiration Lower Extremity
FL Hip Aspiration Right,IR Aspiration Lower Extremity
FL Hip Injection Left,IR Injection Lower Extremity
FL Hip Injection Right,IR Injection Lower Extremity
FL Hip Pinning in OR Left,RF Hip Fixation LT
FL Hip Pinning in OR Right,RF Hip Fixation RT
FL Hysterosalpingogram,RF Hysterosalpingogram
FL Hysterosalpingogram by Gynecologist,RF Hysterosalpingogram
FL Injection not by a Radiologist,RF Fluoro only by Specialist
FL Intramedullary Nail in OR Left,RF Femur IM Nail LT
FL Intramedullary Nail in OR Right,RF Femur IM Nail RT
FL Intravenous Pyelogram,RF Intravenous Pyelogram
FL Joint Arthrogram Other,RF Arthrogram
FL Joint Aspiration Other,RF Aspiration
FL Joint Injection Other,IR Cholangiogram
FL Knee Arthrogram Left,IR Arthrogram Knee
FL Knee Arthrogram Right,IR Arthrogram Knee
FL Knee Aspiration Left,IR Aspiration Lower Extremity
FL Knee Aspiration Right,IR Aspiration Lower Extremity
FL Knee Injection Left,IR Injection Lower Extremity
FL Knee Injection Right,IR Injection Lower Extremity
FL Kochogram,RF Loopogram Pouchogram
FL Leg Venogram Left,IR Venogram Leg LT
FL Leg Venogram Right,IR Venogram Leg RT
FL Loopogram,RF Loopogram Pouchogram
FL Lower Extremity,RF Lower Extremity
FL Lower Extremity not by a Rad Left,RF Lower Extremity
FL Lower Extremity not by a Rad Right,RF Lower Extremity
FL Lumbar Myelogram,IR Myelogram
FL Lumbar Puncture,RF Lumbar Puncture
FL Morphological Cystogram,RF Cystogram Voiding
FL Needle Aspiration Chest US Guided,RF Chest
FL Nephrostogram Bilateral,IR Nephrostogram BILAT
FL Nephrostogram Left,IR Nephrostogram LT
FL Nephrostogram Right,IR Nephrostogram RT
FL Nerve Block not by a Radiologist,IR Lithotripsy BILAT
FL Non Voiding Lateral Cystogram,RF Cystogram
FL Pacemaker and Bivent Leads Insert,RF Pacemaker Insertion or Removal
FL Pacemaker Lead Extraction,RF Pacemaker Insertion or Removal
FL Pacemaker Permanent Insertion,RF Permanent Pacemaker & Chest
FL Pacemaker Temporary Insertion,RF Pacemaker Insertion or Removal
FL Pacemaker w/ Defibrillator Insertion,RF Insertion or Removal Defibrillator
FL Pancreagram,IR Perc Ureteral Int / Ext Stent RT
FL Per Oral Pneumo Colon,RF Colon Single Contrast
FL Peripheral Arteriogram OR Bilateral,IR Angio Aorta Thoracic Selective
FL Peripheral Arteriogram OR Unilateral,IR Angio Aorta Thoracic Selective
FL Retrograde Pyelogram Bilateral,RF Pyelogram Retrograde BILAT
FL Retrograde Pyelogram Left,RF Pyelogram Retrograde LT
FL Retrograde Pyelogram Right,RF Pyelogram Retrograde RT
FL Rhizotomy,IR Lithotripsy BILAT
FL Sacroiliac Joint Injection Left,IR Injection Spine
FL Sacroiliac Joint Injection Right,IR Injection Spine
FL Shoulder Arthrogram Left,IR Arthrogram Shoulder
FL Shoulder Arthrogram Right,IR Arthrogram Shoulder
FL Shoulder Aspiration Left,IR Aspiration Upper Extremity
FL Shoulder Aspiration Right,IR Aspiration Upper Extremity
FL Shoulder Injection Left,IR Injection Upper Extremity
FL Shoulder Injection Right,IR Injection Upper Extremity
FL Sialogram,RF Sialogram
FL Sinogram,IR Sinogram or Fistulogram
FL Sinogram Alcohol Cyst Ablation,IR Sinogram or Fistulogram
FL Skull,RF Skull
FL Small Bowel Follow Through,RF Small Bowel Follow Through
FL Small Bowel Water Soluble Contrast,RF Small Bowel Follow Through
FL Spine,RF Spine 
FL Spine Cerv/Inj Multiple,IR Myelogram
FL Spine Cerv/Inj Single,IR Myelogram
FL Spine Complete Myelogram,IR Myelogram
FL Spine Lumbar/Inj Multiple,IR Myelogram
FL Spine Lumbar/Inj Single,IR Myelogram
FL Spine Thoracic/Injection Multiple,IR Myelogram
FL Spine Thoracic/Injection Single,IR Myelogram
FL Unsuccessful Attempt,RF Partially Completed Exam
FL Upper Extremity,RF Upper Extremity
FL Upper Extremity not by a Rad Left,IR Biopsy Upper Extremity
FL Upper Extremity not by a Rad Right,IR Biopsy Upper Extremity
FL Urethrogram,IR Urethrogram
FL Vaginogram,RF Pelvis
FL Vasogram,RF Pelvis
FL Videofluoroscopic Swallowing Study,RF Modified Barium Swallow
FL Voiding Cystogram,RF Cystogram Voiding
FL Voiding Cystogram Pediatric,RF Cystogram Voiding
FL Voiding Cystogram w/ IVP,RF Cystogram Voiding
FL Voiding Cystogram w/ IVP Pediatric,RF Cystogram Voiding
FL Wrist Arthrogram Left,IR Arthrogram Wrist
FL Wrist Arthrogram Right,IR Arthrogram Wrist
FL Wrist Aspiration Left,IR Aspiration Upper Extremity
FL Wrist Aspiration Right,IR Aspiration Upper Extremity
FL Wrist Injection Left,IR Injection Upper Extremity
FL Wrist Injection Right,IR Injection Upper Extremity
US Parotid or Submandibular Glands,US Salivary Gland
US Scrotum,US Scrotum +/- Doppler
US Shoulder Left,US Shoulder LT
BI Biopsy Core Breast US Left,US Biopsy Breast Core LT
US Shoulder Right,US Shoulder RT
BI Specimen Breast US Left,US Specimen LT
BI Specimen Breast US Right,US Specimen RT
US Spine Pediatric,US Spine
BI Biopsy Core Breast US Right,US Biopsy Breast Core RT
US Guided Amniocentesis,US OB Amniocentesis Singleton
US Cyst Aspiration,US Aspiration
US Needle Aspiration Chest,US Aspiration Chest
US Abdomen and Pelvis,US Abdomen and Pelvis
US Biopsy Other,US Biopsy Other
US Biopsy Other not by a Rad,US Biopsy Other
US Drainage Chest,US Chest Drainage BILAT
US Drainage Abscess or Cyst,US Chest Drainage BILAT
US Drainage Paracentesis,US Chest Drainage BILAT
US Non Extremity Soft Tissue,US Mass Soft Tissue
US Shoulder Bilateral,US Shoulder BILAT
US Varicose Veins Left,US Extremity Lower and Ven Doppler BILAT
US Varicose Veins Right,US Extremity Lower and Ven Doppler BILAT
US Localization,US Vascular Extremity Localization
US Obstetrical by Perinatologist,US Pelvis OB
US Abdominal Aortic Aneurysm,US Abdomen and Pelvis and Doppler
US Biopsy Liver,US Biopsy Liver and Abdomen Scan
US Biopsy Liver Fine Needle,US Biopsy Liver and Abdomen Scan
US Head/Neck Soft Tissue,US Neck
US Pelvis Specific Endovaginal,US Pelvis and Endovaginal
US Biopsy Prostate,US Biopsy Prostate
US Biopsy Renal,US Biopsy Renal LT
US Biopsy Renal Fine Needle,US Biopsy Renal LT
US Consultation Outside Film,
US Percutaneous Cholecystostomy,US Abdomen
US Biopsy Pancreas,US Biopsy Abdomen
BI Localization w/ Sentinel Node Mammo Lt,US Breast and/or Axilla LT
BI Localization w/ Sentinel Node Mammo Rt,US Breast and/or Axilla RT
US Arterial Doppler Resting,US Arterial Doppler
US Arterial Doppler Resting/Tiptoe Test,US Arterial Doppler
US Arterial Doppler Stress Treadmill,US Arterial Doppler
US Arterial Pseudoaneurysm Doppler,US Arterial Doppler
US Abdomen Specific Area(s),US Abdomen Limited
US Biopsy Thyroid,US Biopsy Thyroid
US Carotid Intimal Thickness,US Carotid Doppler
US Embolization,US Embolization
US Endorectal Scan,US Pelvis
US Exam Set Up,US Finger/Toe PPG
US Finger/Toe PPG,US Finger/Toe PPG
US Finger/Toe PPG Sympathetic Tone Resp,US Finger/Toe PPG
US Guided Injection,US Guided Injection
US Popliteal Entrapment Syndrome,US Extremity Lower and Art Doppler BILAT
US Saphenous Vein Mapping Bilateral,US Extremity Lower and Ven Doppler BILAT
US Saphenous Vein Mapping Left,US Extremity Lower and Ven Doppler LT
US Saphenous Vein Mapping Right,US Extremity Lower and Ven Doppler RT
US Temporal Arteries,US Head and Doppler
BI Breast US Bilateral,US Breast and/or Axilla BILAT
US Therapeutic Abortion,US Therapeutic Abortion
US Thoracic Outlet Compression,US Neck
US Transcutaneous Oxygen Measurement,US Transcutaneous Oxygen Measurement
US Thyroid,US Thyroid
US Vasospastic Assessment Cold Immersion,US Vasospastic Assessment Cold Immersion
US Venous Doppler,US Venous Doppler
US Unsuccessful Attempt,US Attempted Exam
US Venous Reflux Plethysmography,US Venous Reflux Plethysmography
US Varicose Veins Bilateral,US Extremity Lower and Ven Doppler BILAT
US Vertebral/Subclavian Doppler,US Carotid Doppler
BI Breast US Left,US Breast and/or Axilla LT
BI Breast US Right,US Breast and/or Axilla RT
BI Biopsy Breast Fine Needle US Left,US Breast Fine Wire Localization LT
BI Localization Breast US Left,US Breast Fine Wire Localization LT
BI Localization w/ Sentinel Node US Lt,US Breast Fine Wire Localization LT
BI Biopsy Breast Fine Needle US Right,US Breast Fine Wire Localization RT
BI Localization Breast US Right,US Breast Fine Wire Localization RT
BI Localization w/ Sentinel Node US Rt,US Breast Fine Wire Localization RT
US Carotid Doppler Bilateral,US Carotid Doppler
US Chest,US Chest
US Abdomen Doppler,US Abdomen With Doppler
US Leg Arteries Doppler Bilateral,US Extremity Lower and Art Doppler BILAT
US Leg Arteries Doppler Left,US Extremity Lower and Art Doppler LT
US Leg Arteries Doppler Right,US Extremity Lower and Art Doppler RT
BI Cyst Aspiration Breast Left,US Aspiration Breast Single LT
BI Drainage Abscess Breast Left,US Aspiration Breast Single LT
US Leg Veins Doppler Bilateral,US Extremity Lower and Ven Doppler BILAT
US Leg Veins Doppler Left,US Extremity Lower and Ven Doppler LT
US Leg Veins Doppler Right,US Extremity Lower and Ven Doppler RT
US Extremity Bilateral,US Extremity Lower BILAT
US Extremity Left,US Extremity Lower LT
US Extremity Right,US Extremity Lower RT
US Arm Arteries Doppler Bilateral,US Extremity Upper and Art Doppler BILAT
US Arm Arteries Doppler Left,US Extremity Upper and Art Doppler LT
US Arm Arteries Doppler Right,US Extremity Upper and Art Doppler RT
BI Cyst Aspiration Breast Right,US Aspiration Breast Single RT
BI Drainage Abscess Breast Right,US Aspiration Breast Single RT
US Arm Veins Doppler Bilateral,US Extremity Upper and Ven Doppler BILAT
US Arm Veins Doppler Left,US Extremity Upper and Ven Doppler LT
US Arm Veins Doppler Right,US Extremity Upper and Ven Doppler RT
US Arm AV Fistula/Graft Mapping Bilat,US Extremity Upper BILAT
US Arm AV Fistula/Graft Mapping Left,US Extremity Upper LT
US Arm AV Fistula/Graft Mapping Right,US Extremity Upper RT
US Head Neonatal,US Head
US Hips Infant Dynamic,US Hip BILAT
ECHO Guidance for Pericardiocentesis,EC Echo Pericardiocentesis
Echocardiogram,EC Echo
Echocardiogram Exercise Stress,EC Echo Stress
Echocardiogram Pediatric,EC Echo
Echocardiogram Pharmacological Stress,EC Echo Dobutamine Stress
Echocardiogram Trans Esophageal,EC Echo Transesophageal
US Radiologist Consult,US Consultation
IR Radiologist Consult,IR Consultation
FL Radiologist Consult,RF Consultation
IR Other,IR OTHER
CTA EVT Stroke Protocol,CT Angio Endovascular
IR Catheter / Tube Change Other,IR Tube Check
IR Gastrostomy/Gastrojejunostomy Change,IR Gastrojejunal Jejunal Tube Change
IR Pericardiocentesis,IR Pericardiocentesis by Radiologist
IR Percutaneous Cystostomy,IR Percutaneous Cystostomy
NM Octreotide Scan Delayed Image 48 Hrs,NM Tumour
US Obstetrical Scan >14 Wks Ambulatory,US OB > 14 Detailed Singleton
US Obstetrical Scan >14 Wks Limited Amb,US OB > 14 Detailed Singleton
XR Neonate Chest/Abd 1 View,XR Chest/Abdomen Single Exposure
XR Neonate Chest/Abd 2 Views,XR Chest/Abdomen Single Exposure
XR Neonate Chest 1 View,XR Chest
XR Neonate Chest 2 Views,XR Chest
XR Ribs Bilateral w/ Chest 2 Views,XR Chest
XR Ribs Left w/ Chest 2 Views,XR Chest
XR Ribs Right w/ Chest 2 Views,XR Chest
HC Coronary Angiogram and Angioplasty,IR Angio Coronary
HC Coronary Angiogram - Diagnostic,IR Angio Coronary
HC Coronary Artery Intervention,IR Coronary Artery
HC Heart Catheterization Rt,IR Heart Catheterization
HC Rt Heart Cath and Coronary Angiogram,IR Angio Coronary
CT Parathyroid 4D w/ + w/o Contrast,CT Neck with Contrast
CT Skeletal Survey w/ Contrast,CT Skeletal Survey
CT Skeletal Survey w/o Contrast,CT Skeletal Survey
IR Arterial Stroke Thrombectomy,IR Arterial Stroke Thrombectomy
NM Renal Scan w/o Captopril Stimulation,NM Renal 
US Biopsy Lymph Node,US Biopsy Lymph node
US Biopsy Parotid or Submandibular Gland,US Biopsy Salivary Gland
MI Radiologist Telephone Consult ,CT Phone Consultation
Echocardiogram w/ Contrast,EC Echo with Contrast
Knee Left X-Ray and Patella View,XR Knee and Patella Left
PET Brain,PET Brain
PET Head Neck,PET Head Neck
PET Skull Base to Mid-thigh,PET Skull Base to Mid-thigh
PET Skull Base to Mid-thigh Brain,PET Skull Base to Mid-thigh Brain
PET Skull Base to Mid-thigh Head Neck,PET Skull Base to Mid-thigh Head Neck
PET Vertex to Toes,PET Vertex to Toes
PET Vertex to Toes Brain,PET Vertex to Toes Brain
PET Vertex to Toes Head Neck,PET Vertex to Toes Head Neck
PET Attempted Exam,PET Attempted Exam
PET Consultation,PET Consultation
PET Duplication,PET Duplication
PET External Study Review,PET External Study Review
PET Imported Digital Study,PET Imported Digital Study
PET Phone Consultation,PET Phone Consultation
PET Partially Completed Exam,PET Partially Completed Exam
PET Injection,PET Injection
NM Pyrophosphate Scan,NM Pyrophosphate Tc99m
BI Biopsy Core Breast US Bilateral,US Biopsy Breast Core Bilat
CT Chest Abd Biphasic Pelvis w/ Contrast,CT Chest Abdomen Pelvis with Contrast
CT Extremity Other Bilateral w/ Contrast,CT Extremity with Contrast
CT Head and Facial w/ Contrast,CT Head and Facial Bones with Contrast
CT Spine Thoracic Lumbar w/ Contrast,CT Spine Thoracic and Lumbar with Contrast
CTA Carotid and IAC,CT Angio Head with Contrast
US Liver Elastography,US Abdomen
Echo Unsuccessful Attempt,EC Echo Attempted Exam
HC Biopsy Cardiac - Endocardium,IR Cardiac Catheterization
HC Cardiac Valve Fluoroscopy,IR Cardiac Catheterization
HC Cardiac Valvuloplasty,IR Cardiac Catheterization
HC Transcatheter Aortic Valve Implant,IR Cardiac Catheterization
EP AFib/ Atypical Aflutter Ablation,IR Cardiac Electrophysiology
EP Atrial Ventricular Node Ablation,IR Cardiac Electrophysiology
EP AV Nodal Modification,IR Cardiac Electrophysiology
EP Cardioversion,IR Cardiac Electrophysiology
EP Drug Testing,IR Cardiac Electrophysiology
EP EAT Ablation,IR Cardiac Electrophysiology
EP Electrophysiology Study,IR Cardiac Electrophysiology
EP Electrophysiology Study and Ablation,IR Cardiac Electrophysiology
EP ICD Explant Bi-Ventricular,IR Cardiac Electrophysiology
EP ICD Explant Dual Chamber,IR Cardiac Electrophysiology
EP ICD Explant Single Chamber,IR Cardiac Electrophysiology
EP ICD Generator Replacement,IR Cardiac Electrophysiology
EP ICD Implant Bi-Ventricular,IR Cardiac Electrophysiology
EP ICD Implant Dual Chamber,IR Cardiac Electrophysiology
EP ICD Implant Single Chamber,IR Cardiac Electrophysiology
EP ICD Lead Reposition,IR Cardiac Electrophysiology
EP Intracardiac Defibrillator Test,IR Cardiac Electrophysiology
EP Loop Recorder Insertion,IR Cardiac Electrophysiology
EP Loop Recorder Removal,IR Cardiac Electrophysiology
EP Pacemaker Explant Bi-Ventricular,IR Cardiac Electrophysiology
EP Pacemaker Explant Dual Chamber,IR Cardiac Electrophysiology
EP Pacemaker Explant Single Chamber,IR Cardiac Electrophysiology
EP Pacemaker Generator Replacement,IR Cardiac Electrophysiology
EP Pacemaker Implant Bi-Ventricular,IR Cardiac Electrophysiology
EP Pacemaker Implant Dual Chamber,IR Cardiac Electrophysiology
EP Pacemaker Implant Single Chamber,IR Cardiac Electrophysiology
EP Pacemaker Lead Reposition,IR Cardiac Electrophysiology
EP Pulmonary Vein Ablation,IR Cardiac Electrophysiology
EP Pulmonary Vein Angioplasty,IR Cardiac Electrophysiology
EP Pulmonary Vein Stent Insertion,IR Cardiac Electrophysiology
EP RVOT Ablation,IR Cardiac Electrophysiology
EP SVT Ablation,IR Cardiac Electrophysiology
EP Typical A-Flutter Ablation,IR Cardiac Electrophysiology
EP VT Ablation,IR Cardiac Electrophysiology
EP VT/VF Study,IR Cardiac Electrophysiology
MRI Head Trigeminal w/Contrast,MR Head with Contrast
MRI Head Trigeminal w/o Contrast,MR Head w/o Contrast
BI Biopsy Breast Stereotaxis/Tomo Left,MG Stereo Core Biopsy Single Site LT
BI Biopsy Breast Stereotaxis/Tomo Right,MG Stereo Core Biopsy Single Site RT
BI Mammogram Tomo/Bilateral,MG Tomosynthesis BILAT
BI Mammogram Tomo/Left,MG Tomosynthesis LT
BI Mammogram Tomo/Right,MG Tomosynthesis RT
CT Lung Screening,CT CHEST/LUNG/SCREEN
IR Ureteric Stent Change Bilateral,IR Ureter Int / Ext Stent Change BILAT
IR Ureteric Stent Change Left,IR Ureter Int / Ext Stent Change LT
IR Ureteric Stent Change Right,IR Ureter Int / Ext Stent Change RT
MRI Hip Arthrogram w/o Contrast Left,MRI Hip Arthrogram Left
MRI Hip Arthrogram w/o Contrast Right,MRI Hip Arthrogram Right
MRI Renal Mass w/  Contrast,MR Renal wo/w Contrast
MRI Whole Body w/ + w/o Contrast,MR Total Body with Contrast
MRI Whole Body w/ Contrast,MR Total Body with Contrast
MRI Whole Body w/o Contrast,MR Total Body w/o Contrast
CT Spine Cerv/Thor/Lumbar w/o Contrast,CT Spine 2 or More Areas w/o Contrast
MRI Bladder w/ Contrast,MR Pelvis with Contrast
MRI Rectum w/o contrast,MR Pelvis w/o Contrast
MRI Head Trigeminal w/ Contrast,MR Head with Contrast
CT Spine Cer/Thor/Lumb w/ + w/o Contrast,CT Spine 2 or More Areas wo/w Contrast
CT Spine Cerv/Thor/Lumbar w/ Contrast,CT Spine 2 or More Areas with contrast
FL Pelvis not by a Radiologist,RF Pelvis
HH Loop Recorder Check,IR Cardiac Electrophysiology
MRI Bladder w/o Contrast,MR Pelvis w/o Contrast
MRI Rectum w/ Contrast,MR Pelvis with Contrast
ECHO Trans Esophageal Intraprocedural,EC Echo Transesophageal
EP Left Atrial Appendage Closure,IR Closure Atrial Appendage Lt
EP Pulmonary Vein Ablation with ICE,IR Cardiac Electrophysiology
MI Conference Multidisciplinary,
HH Pacemaker Consult Out Patient,
BI Biopsy Breast Fine Needle US Bilat,US Biopsy Breast FNA Bilateral
BI Breast Clip Placement US Left,US Breast Clip Placement
BI Breast Clip Placement US Right,US Breast Clip Placement
CT Foot and Ankle w/ Contrast Left,CT Ankle with Contrast LT
CT Foot and Ankle w/ Contrast Right,CT Ankle with Contrast RT
CTA Mesenteric Arteries,CT Angio Abdomen with Contrast
CTA Pulsatile Tinnitus and IAC,CT IACs w/ Contrast
IR Ablation Liver,IR Liver Ablation
IR Drainage Abcess or Cyst,IR Perc Abscess or fluid Drainage
IR TARE MAA Mapping,IR Arteriogram
IR Transarterial Radioembolization(TARE) ,IR Arteriogram
NM TARE MAA Mapping,NM Radionuclide Angiogram
NM TARE Post-Therapy,NM Additional
US CEUS Liver,US OTHER  
US Axilla Bilateral,US Breast and/or Axilla BILAT
US Axilla Left,US Breast and/or Axilla LT
US Axilla Right,US Breast and/or Axilla RT
US Arm Arterial Doppler Resting Bilat,US Extremity Upper and Art Doppler BILAT
US Arm Arterial Doppler Resting Left,US Extremity Upper and Art Doppler LT
US Arm Arterial Doppler Resting Right,US Extremity Upper and Art Doppler RT
US Leg Arterial Doppler Resting Bilateral,US Extremity Lower and Art Doppler BILAT
US Leg Arterial Doppler Resting Left,US Extremity Lower and Art Doppler LT
US Leg Arterial Doppler Resting Right,US Extremity Lower and Art Doppler RT
XR Neonate Abdomen 1 View,XR Abdomen Single View
XR Neonate Abdomen 2 Views,XR Abdomen Multiview
FL BCCA Videofluoroscopic Swallow Study�,RF Modified Barium Swallow
BD Attempted Procedure,BD Attempted Exam
BD Bone Density 1 Site,BD Single Area
BD Bone Density 2 Sites,BD Two Areas
CD ECG Complete,
CD ECG PHOENIX Complete,
CT 2nd Rad Review,CT External Study Review
CT Abdomen,
CT Abdomen & Pelvis w/ Contrast,CT Abdomen Pelvis with Contrast
CT Abdomen & Pelvis w/o Contrast,CT Abdomen Pelvis w/o Contrast
CT Abdomen & Pelvis w/wo Contrast,CT Abdomen Pelvis wo/w Contrast
CT Abdomen Adrenals,CT Abdomen w/o Contrast
CT Abdomen IVP,CT IVP with Contrast
CT Abdomen KUB,CT KUB w/o Contrast
CT Abdomen w/ Contrast,CT Abdomen with Contrast
CT Abdomen w/o Contrast,CT Abdomen w/o Contrast
CT Abdomen w/wo Contrast,CT Abdomen wo/w Contrast
CT Angio Abdomen,CT Angio Abdomen with Contrast
CT Angio Abdomen & Pelvis,CT Angio Abdomen Pelvis with Cont
CT Angio Abdomen Aorta & Femoral Bilat,CT Angio Abdo Pelvis Lower Ext with Cont
CT Angio Chest,CT Angio Chest wo/w Contrast
CT Angio Chest & Abdomen,CT Angio Chest Abdomen with Contrast
"CT Angio Chest, Abdomen & Pelvis",CT Angio Chest Abdomen Pelvis wo/w Cont
CT Angio Coronary,CT Cardiac with Contrast
CT Angio Head/Neck,CT Angio Head Neck wo/w Contrast
CT Angio Lower Extremity Bilat,CT Angio Lower Extremity BILAT
CT Angio Lower Extremity Left,CT Angio Leg Runoff with Contrast
CT Angio Lower Extremity Right,CT Angio Leg Runoff with Contrast
CT Angio Neck,
CT Angio PE Chest,CT Angio Chest with Contrast
CT Angio Pelvis,CT Angio Pelvis
CT Angio Renal,CT Angio Abdomen with Contrast
CT Angio Upper Extremity Bilat,CT Angio Upper Extremity BILAT
CT Angio Upper Extremity Left,CT Angio Upper Extremity LT
CT Angio Upper Extremity Right,CT Angio Upper Extremity RT
CT Angiography Pelvis,
CT Ankle w/ Contrast Bilat,CT Ankle with Contrast BILAT
CT Ankle w/o Contrast Bilat,CT Ankle w/o Contrast BILAT
CT Ankle w/wo Contrast Bilat,CT Ankle wo/w Contrast BILAT
CT Ankle w/wo Contrast Left,CT Ankle wo/w Contrast LT
CT Ankle w/wo Contrast Right,CT Ankle wo/w Contrast RT
CT Arthrogram Ankle Left,CT Ankle w/o Contrast LT
CT Arthrogram Ankle Right,CT Ankle w/o Contrast RT
CT Arthrogram Elbow Left,CT Elbow w/o Contrast LT
CT Arthrogram Elbow Right,CT Elbow w/o Contrast RT
CT Arthrogram Hip Left,CT Hip w/o Contrast LT
CT Arthrogram Hip Right,CT Arthrogram Hip RT
CT Arthrogram Knee Left,CT Knee w/o Contrast LT
CT Arthrogram Knee Right,CT Knee w/o Contrast RT
CT Arthrogram Shoulder Bilat,CT Shoulder w/o Contrast BILAT
CT Arthrogram Shoulder Left,CT Shoulder w/o Contrast LT
CT Arthrogram Shoulder Right,CT Shoulder w/o Contrast RT
CT Arthrogram Wrist Left,CT Wrist w/o Contrast LT
CT Arthrogram Wrist Right,CT Wrist w/o Contrast RT
CT Aspiration Abdomen,CT Aspiration Abdomen
CT Aspiration Chest,CT Aspiration Chest
CT Aspiration Pancreas,
CT Aspiration Pelvis,
CT Aspiration Renal Left,
CT Aspiration Renal Right,
CT Aspiration Spine,CT Aspiration Spine
CT Aspiration/Biopsy Head/Neck,CT Aspiration Head
CT Attempted Procedure,CT Attempted Exam
CT Biopsy Abdominal Nodes,
CT Biopsy Chest,CT Biopsy Chest
CT Biopsy Lung Left,
CT Biopsy Lung Right,
CT Biopsy Mediastinum,
CT Biopsy Renal Left,
CT Biopsy Renal Right,
CT Body & Chest,
CT Body & Extremity,
CT Body & Spine,
CT Chest & Abdomen w/ Contrast,CT Chest Abdomen with Contrast
CT Chest & Abdomen w/o Contrast,CT Chest Abdomen w/o Contrast
CT Chest & Abdomen w/wo Contrast,CT Chest Abdomen wo/w Contrast
CT Chest & Extremity,
CT Chest & Spine,
CT Chest HRCT,CT Chest w/o Contrast
CT Chest HRCT Inspiration/Expiration,CT Chest w/o Contrast
CT Chest w/wo Contrast,CT Chest wo/w Contrast
CT Chest Wall,
CT Colonography,CT Colonography
CT Comparison Outside Film,CT Imported Film Study
CT Drainage - Abscess or Cyst,
CT Drainage > or = 2 areas,
CT Drainage Abdomen,CT Drainage Abdomen
CT Drainage Liver,
CT Drainage Lung Left,
CT Drainage Lung Right,
CT Drainage Mediastinum,
CT Drainage Pancreas,
CT Drainage Pelvis,
CT Drainage Peritoneal,
CT Drainage Renal Bilat,
CT Drainage Renal Left,
CT Drainage Renal Right,
CT Drainage Retroperitoneal Abscess,
CT Drainage Subphrenic,
CT Elbow w/ Contrast Bilat,CT Elbow with Contrast BILAT
CT Elbow w/o Contrast Bilat,CT Elbow w/o Contrast BILAT
CT Elbow w/wo Contrast Bilat,CT Elbow wo/w Contrast BILAT
CT Elbow w/wo Contrast Left,CT Elbow wo/w Contrast LT
CT Elbow w/wo Contrast Right,CT Elbow wo/w Contrast RT
CT Enterography,CT Enterography with Contrast
CT Extremities Multi Areas,
CT Facet Joint Inject Add Facet,
CT Facet Joint Injection Left,CT Facet Joint Injection
